;0;1;2;3;4;5;6;7;8;9;10;11;type
972;-4422.45996185;21153.7281082;-33836.3208515;-9854.34627816;-5466.18860372;2444.07035649;5302.81485752;3944.53366607;664.648573736;-362.196902568;6064.9767591;-5538.29423251;1.0
1722;-11965.2237882;-5596.82859338;9990.60344519;-1744.00837208;-4012.85087166;1379.19147597;1610.65868433;1507.33978915;-344.312874278;-2716.34413474;-3269.38508164;-4113.29503398;0.0
1924;-34186.3348866;-2067.87587355;14137.4834884;-5908.16268722;1049.40543208;280.910950017;3850.84238874;1701.21560719;4010.05293319;769.142918703;-1772.52404633;2744.26364832;0.0
1732;8999.00325544;-8550.52634649;3572.16366428;-2113.44521275;-2346.74808995;351.570810629;5631.0389585;468.853617826;2200.84835804;601.143135496;2369.85916272;-3646.71760503;0.0
726;-16068.9510951;6707.44322163;-16878.8387518;7665.47000897;1326.31751957;-13659.9816674;-839.085920554;-915.717537786;2231.56833342;504.483229555;-3406.29138763;-3046.70629903;0.0
1983;-13526.1299304;-6042.68408183;-4840.76738624;13096.7463108;5103.03645199;2912.07837385;-5068.57188921;504.139979505;404.065158892;-3871.71754615;1026.35235675;2336.14496838;0.0
987;46153.8611252;-18614.6343165;9.51436829764;340.204577535;773.743542472;-2233.79077893;1212.46570629;2455.02742614;4305.43715246;-665.878241865;525.364173556;1916.22183638;0.0
1005;32568.8801442;-18267.1097555;1077.61488758;5481.90579055;3873.95146263;4281.10849413;-5601.58787672;-10025.4724983;14909.6292642;-2464.95292826;-466.301241497;-2029.84162483;0.0
1698;-44378.6150273;-246.913864306;21630.6180121;-5209.12489949;-7113.19751749;-1555.83764108;3654.81249628;-291.244058124;1505.87497338;335.84273827;721.072789846;1769.89394601;0.0
1848;41979.5347331;-14242.83468;-110.874024089;-2216.61878775;725.462530644;6200.04452686;6666.42662394;4788.86920325;7560.85059673;3861.56698107;1630.63706289;614.638978022;0.0
1972;27960.755699;-22428.9696512;11451.6679347;2104.80929413;56.2655642974;7838.43967284;-2688.87947674;2474.87480742;1575.42251605;4224.5086985;984.504501224;6785.02018207;0.0
1554;-31791.7280969;-2762.75223327;25722.4683792;-1246.32866013;-6014.96374379;699.2104381;-230.964588364;51.8561286752;-3444.9551959;515.497691895;-2396.4760942;-3360.7620641;0.0
763;-35857.9575205;10335.2942981;8646.52550662;-69561.3322565;121026.355279;-4455.8285516;-8365.05519524;-3976.78307701;-1039.50792602;1336.6480993;-2336.63779494;-1821.11825505;1.0
29;14366.9999276;-27332.4136481;30770.0012956;-9281.36419863;-8075.41630282;6463.96302102;2626.61997175;-6241.53514363;5434.84599737;-10106.0283111;8899.11777943;-2404.87680043;0.0
1739;19761.3259443;-15546.2346844;3598.63222483;-4472.30585995;-2617.00320835;15209.8500591;5797.66381912;3687.46085424;1760.47943248;146.897745105;1810.59393097;-425.017865639;0.0
919;3031.74020233;10974.3033356;-24967.0223926;-6866.47286511;-4461.78951738;2559.54970013;6234.84794707;6602.63676761;4290.90513694;-3860.6549393;-10373.8500563;-2083.9696509;1.0
916;-21183.702608;-2861.47238939;-20519.4003698;8951.15241505;3920.38710486;5002.08237752;-5562.38982813;919.525447388;-3344.05260714;-8302.27090204;2749.838694;-1725.25644473;1.0
994;44688.3012127;-18277.2473239;25859.9466764;-6491.68209371;-1734.86827826;4391.47171398;515.611053158;4896.76284439;1147.43667537;-3408.78183425;5481.24130408;-183.537394926;0.0
816;32323.2980907;2282.10988278;3845.44143288;-2592.82511827;-873.676410838;11676.7393391;-6593.79550758;-4048.37989016;3994.46260201;-1321.03609759;-4538.83067302;1507.89938148;1.0
711;-25801.25389;2892.61914698;-16848.1961059;7329.57700042;1993.80384721;-12076.9642451;46.942616212;353.996095189;2561.80615409;278.660668767;-2352.75349425;-2906.99094317;0.0
2030;-17155.0917876;1334.52360092;-21785.2742271;4966.50373115;695.427509523;-8366.63560495;3775.6588568;7938.12120829;-5214.02497615;577.829760527;9297.87630762;1795.49112361;0.0
777;46170.4136302;-3457.85213739;-3078.73867641;-8087.00555485;-2443.06911207;6605.88050576;8942.90617506;3311.41468651;420.939177275;99.5930245887;5342.05621371;-1096.06624072;1.0
820;-7781.99991372;-2117.69615606;-9203.7975432;7033.43456682;5937.79004995;-8194.03696933;-5074.44245915;-1483.53387138;-2831.21333341;-2915.57082274;-543.951519256;-911.174523826;1.0
